Alcoholic Beverages,Animal Products,"Fish, Seafood",Stimulants,Sugar & Sweeteners,Vegetal Products,Obesity,Confirmed,Deaths,Recovered
2.2188,22.8328,0.6472,0.2605,6.0418,27.1612,24.9,7.302733119,0.104180064,5.757073955
8.0858,14.6038,1.6249,1.2823,8.1121,35.3838,24.2,7.153322785,0.072468354,5.945253165
9.8498,17.8065,0.5355,0.134,3.8081,32.1944,28.5,6.163316536,0.10055991,5.155319149
2.5343,15.5347,0.6622,0.2397,3.311,34.4636,23.3,5.836958277,0.061265141,5.241049798
4.9933,18.9196,0.6515,0.2615,2.4915,31.0774,22.5,5.326723728,0.11787922,4.372420352
0.4014,13.564,0.2896,0.1863,2.6579,36.4358,20.9,5.282205683,0.091813261,4.626725304
6.6254,12.3346,1.005,0.1195,4.2277,37.6619,22.5,5.222367499,0.086738268,4.203712351
4.9846,17.311,0.9196,0.2458,3.088,32.6838,27.1,5.032810945,0.086169154,4.565472637
4.9978,22.4227,0.9109,0.3727,2.9737,27.5705,21.2,4.959427843,0.082209868,3.607829511
5.5419,23.049,1.5431,0.2164,4.502,26.9471,28.4,4.434108805,0.042448103,2.167465999
4.3903,24.2977,1.1517,0.2904,2.3446,25.6959,23.1,4.256558081,0.06248354,0.050798649
1.2876,18.7463,1.4696,0.2619,1.7747,31.2472,26.7,4.22827691,0.034407552,3.848459201
4.1631,21.7097,1.8214,0.2925,2.611,28.2903,23.2,3.979570373,0.096071759,0.299598091
7.0215,19.5654,0.7562,0.4106,2.6094,30.4338,21.9,3.895041508,0.064449181,3.544446937
5.3152,18.3382,2.2646,0.2229,1.8482,31.6581,27.1,3.894092579,0.104595361,0.315683846
1.9045,12.0639,0.3507,0.2474,2.9104,37.933,23.9,3.865721154,0.114182692,2.76125
4.7147,18.6614,2.7295,0.2684,1.7316,31.3374,23.2,3.779970746,0.062535349,3.047615797
4.3629,17.347,0.5899,0.3024,2.7755,32.6537,22.3,3.504969029,0.089693691,3.074762997
4.2672,19.3454,0.4693,0.4378,3.0536,30.6559,28.5,3.446382529,0.093249884,3.050613747
3.1892,19.0329,1.5816,0.2946,1.7175,30.9671,22.9,3.33242172,0.117586573,2.230305493
4.7876,12.4319,0.2465,0.3504,1.6391,37.5645,19.4,3.300761963,0.118195672,2.252240171
5.2632,18.8798,1.0911,0.2461,2.4383,31.1116,29.5,3.268528886,0.103829661,0.00717838
6.8201,16.559,0.5845,0.1509,2.4775,33.439,25.6,3.231854671,0.069724771,2.543463303
6.7533,20.0268,0.4113,0.1031,2.5433,29.9644,28.6,3.189863827,0.089372376,1.234043207
1.6982,18.677,1.3317,0.3181,3.9006,31.3238,25.7,3.189004109,0.040813931,2.520876541
0.0044,10.7213,0.8343,0.2696,2.9163,39.275,37,3.176657429,0.019739928,3.088850991
4.7679,15.9287,0.2844,0.1398,1.4126,34.0679,24.5,3.162834572,0.077501169,2.72246245
3.1032,12.821,0.4552,0.0057,4.7518,37.1774,22.1,3.154611277,0.083840304,2.866507564
3.8623,8.6638,1.7993,0.2501,1.7339,41.3344,19.1,3.047017426,0.113386546,2.858703997
6.1266,18.9841,0.7045,0.2513,5.5166,31.0231,22.4,2.957927499,0.031709996,2.092035884
7.0834,17.2483,0.4845,0.2818,2.3627,32.7435,27.4,2.839006785,0.101385881,1.554496896
0.2621,13.5101,2.0105,0.1395,2.5903,36.486,22.9,2.722045406,0.031635901,2.555506047
